Title,Zone,Latitude,Longitude,Operator,Post Code,Alternate Title,Total Spaces,Allowed Vehicles,Last Tariff Update,Charge Times,Parking Rate / Hour,Convenience Fee,Remainder Message Fee,Summary Message Fee,Maximum Stay,Extendable Upto,Advance Parking,Location Type,Number of Allowed Vehicle Types
Bears Paw Car Park,21565,53.5362282,-2.57780004,Smart Parking,WN2 3AN,Bears Paw Car Park/Wigan,20,Car,27 February 2020,All Week,£1.00,20p,15p,15p,5 Hours,Forever,No,Off street,1
Talbot at Belbroughton Car Park,21567,52.391571,-2.11868,Smart Parking,DY9 9TG,Talbot at Belbroughton Car Park/Stourbridge,25,Car,04 March 2020,All Week 11:00am - Midnight,£1.50,20p,15p,15p,13 Hours,Up to Maximum stay,No,Off street,1
Delamere Street,21568,53.4875107,-2.09423995,Smart Parking,OL6 8YX,Delamere Street/Ashton-Under-Lyne,25,Car,06 March 2020,Monday to Saturday,£1.00,20p,15p,15p,24 Hours,Forever,No,Off street,1
Poundstretcher Car Park,21572,54.347599,-6.26867008,Smart Parking,BT32 3HB,Poundstretcher Car Park/Banbridge,59,Car,28 May 2020,All Week,£0.30,20p,15p,15p,1 Day,Up to Maximum stay,No,Off street,1
Skegness Market Car Park,21573,53.1423607,0.338829994,Smart Parking,PE25 3NR,Skegness Market Car Park/Skegness,30,Car,12 June 2020,All Week,£0.50,20p,15p,15p,4 Hours,Up to Maximum stay,No,Off street,1
Melksham Train Station Car Park,21575,51.3796196,-2.1438899,Smart Parking,SN12 8DB,Melksham Train Station Car Park/Melksham,20,Car,16 February 2022,All Week,£0.30,20p,15p,15p,365 Days,Up to Maximum stay,No,Off street,1
Langstone Cliff Hotel,21579,50.594101,-3.44634008,Smart Parking,EX7 0NA,Langstone Cliff Hotel/Dawlish Warren,100,Car,09 May 2022,All Week,£2.50,20p,15p,15p,1 Day,Forever,No,Off street,1
WWT London Car Park,21580,51.4761887,-0.23387,Smart Parking,SW13 9WT,WWT London Car Park/London,100,Car,18 August 2020,All Week,£3.00,20p,15p,15p,24 Hours,Forever,No,Off street,1
Croham Hotel Car Park,21581,50.7171288,-1.88777995,Smart Parking,BH2 5JH,Croham Hotel Car Park/Bournemouth,25,"Car, HGV/LGV, Motorcycle, Minibus",19 September 2020,All Week,£10.00,20p,15p,15p,1 Day,Up to Maximum stay,No,Off street,4
Piper Knowle Road Car Park,21582,54.583889,-1.34562004,Smart Parking,TS19 8DE,Piper Knowle Road Car Park/Stockton-on-Tees,140,Car,25 August 2020,All Week,£2.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Westway (Front Shops) Botley Car Park,21583,51.7520103,-1.29734004,Smart Parking,OX2 9LP,Westway (Front Shops) Botley Car Park/Oxford,100,Car,26 August 2020,Monday to Friday,£5.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Utility Street Car Park,21585,54.5892601,-5.94150019,Smart Parking,BT12 5JS,Utility Street Car Park/Belfast,22,Car,11 September 2020,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Railway Inn Car Park,21586,50.3961487,-3.5557301,Smart Parking,TQ5 0LL,Railway Inn Car Park/Brixham,50,Car,18 September 2020,,£5.00,20p,15p,15p,1 Day,Up to Maximum stay,No,Off street,1
Milton Keynes Central Station Car Park,21587,52.0355911,-0.775380015,Smart Parking,MK9 1AZ,Milton Keynes Central Station Car Park/Milton Keynes,336,Car,16 February 2022,Monday to Friday,£1.00,20p,15p,15p,31 Days,Forever,No,Off street,1
Captain Street Car Park,21589,55.131649,-6.67936993,Smart Parking,BT51 3DT,Captain Street Car Park/Coleraine,200,Car,24 September 2020,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Knightswick Shopping Centre Car Park,21593,51.5222282,0.594269991,Smart Parking,SS8 7AD,Knightswick Shopping Centre Car Park/Canvey Island,300,Car,12 October 2020,Monday to Saturday,£0.30,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
729 Lisburn Road Car Park,21594,54.5717812,-5.96153021,Smart Parking,BT52 1PS,729 Lisburn Road Car Park/Belfast,30,Car,24 September 2020,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
New Cross Car Park,21599,52.5973396,-2.09313989,Smart Parking,WV11 1UH,New Cross Car Park/Wolverhampton,125,Car,25 November 2020,All Week,£2.00,20p,15p,15p,24 Hours,Forever,No,Off street,1
Red Bull Technologies Car Park,21600,52.0083389,-0.693639994,Smart Parking,,Red Bull Technologies Car Park/Milton Keynes,150,Car,09 December 2020,Monday to Friday 6:00am - 10:00pm,£8.00,20p,15p,15p,16 Hours,Up to Maximum stay,No,Off street,1
Bowdon Hotel Car Park,21601,53.3776398,-2.35176992,Smart Parking,WA14 2HT,Bowdon Hotel Car Park/Altrincham,120,Car,11 December 2020,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Heelis Street Car Park,21602,53.5488396,-1.47812998,Smart Parking,S70 1LW,Heelis Street Car Park/Barnsley,113,Car,11 December 2020,All Week,£0.50,20p,15p,15p,12 Hours,Up to Maximum stay,No,Off street,1
44 Chapel Street Car Park,21604,53.7946091,-1.74465001,Smart Parking,BD1 5BY,44 Chapel Street Car Park/Bradford,15,Car,04 June 2021,All Week,£2.10,20p,15p,15p,24 Hours,Forever,No,Off street,1
Hill Street Car Park,21605,54.6027718,-5.92686987,Smart Parking,BT1 2LB,Hill Street Car Park/Belfast,42,Car,17 October 2022,All Week,£1.70,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
SD Bookmakers Car Park,21606,52.8041382,0.0168600008,Smart Parking,PE12 7DY,SD Bookmakers Car Park/Holbeach,24,Car,11 April 2021,All Week,£0.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Arlington Car Park Dreamland,21608,51.3853912,1.37544,Smart Parking,CT9 1XP,Arlington Car Park Dreamland/Margate,450,Car,07 July 2023,All Week,£1.50,20p,15p,15p,15 Hours,Up to Maximum stay,No,Off street,1
Inn on the Shore,21609,50.361599,-4.37075996,Smart Parking,PL11 3JY,Inn on the Shore/Torpoint,32,Car,31 March 2021,All Week,£3.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
High Street Mall Car Park,21610,54.4241409,-6.44339991,Smart Parking,BT62 1HX,High Street Mall Car Park/Portadown,540,Car,04 June 2021,All Week,£2.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Saunton Sands Hotel Car Park,21611,51.1180801,-4.21983004,Smart Parking,EX33 1LQ,Saunton Sands Hotel Car Park/Braunton,150,Car,11 May 2021,All Week,£20.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Townsend Street Car Park,21612,54.3470497,-6.26928997,Smart Parking,BT32 2LF,Townsend Street Car Park/Banbridge,26,Car,19 May 2021,All Week,£0.40,20p,15p,15p,4 Hours,Up to Maximum stay,No,Off street,1
The Rendezvous Car Park,21613,51.3919411,1.38287997,Smart Parking,CT9 1HG,Turner Contemporary Car Park/Margate,70,Car,15 March 2023,All Week,£1.65,20p,15p,15p,15 Hours,Up to Maximum stay,No,Off street,1
Belgrave Road Car Park,21614,51.3857689,1.37865996,Smart Parking,CT9 1XG,Belgrave Road Car Park/Margate,374,Car,23 November 2022,All Week,£1.50,20p,15p,15p,15 Hours,Up to Maximum stay,No,Off street,1
Deiniol Shopping Centre Car Park,21615,53.2268791,-4.12619019,Smart Parking,LL57 1NW,Deiniol Shopping Centre Car Park/Bangor,120,Car,26 April 2023,Monday to Saturday 8:00am - 6:00pm,£0.60,20p,15p,15p,10 Hours,Up to Maximum stay,No,Off street,1
Ferry House Lodge,21616,50.8092003,-1.08606994,Smart Parking,PO2 7BX,Ferry House Lodge/Portsmouth,20,Car,14 June 2021,All Week,£2.00,20p,15p,15p,3 Days,Up to Maximum stay,No,Off street,1
Millhouse Social Club Car Park,21617,51.5270882,0.163399994,Smart Parking,RM10 9ND,Millhouse Social Club Car Park/Dagenham,150,Car,15 July 2021,Monday to Friday 7:00am - 6:00pm,£1.50,20p,15p,15p,11 Hours,Up to Maximum stay,No,Off street,1
Crown Street Car Park,21618,52.9023018,-2.14877009,Smart Parking,ST15 8AU,Crown Street Car Park/Stone,35,Car,15 July 2021,All Week,£0.50,20p,15p,15p,4 Hours,Up to Maximum stay,No,Off street,1
Windmill Pub Car Park,21619,51.3811417,-0.0918999985,Smart Parking,CR0 2BW,Windmill Pub Car Park/Croydon,30,Car,16 February 2022,Permits - All Week,£70.00,20p,15p,15p,31 Days,Up to Maximum stay,No,Off street,1
Belgrave Road Coach Parking,21620,51.3853989,1.37802994,Smart Parking,CT9 1XG,Belgrave Road Coach Parking/Margate,50,Coach,27 July 2021,All Week,£12.00,20p,15p,15p,7 Days,Up to Maximum stay,No,Off street,1
Cherry Tree Shopping Centre Car Park,21621,53.418911,-3.04522991,Smart Parking,CH44 5XU,Cherry Tree Shopping Centre Car Park/Wallasey,200,Car,11 August 2021,Monday to Saturday,£0.70,20p,15p,15p,10 Hours,Up to Maximum stay,No,Off street,1
High Street Mall Permit Car Park,21622,54.4243088,-6.44427013,Smart Parking,BT62 1HX,High Street Mall Permit Car Park/Portadown,200,Car,16 February 2022,24hrs,£6.25,20p,15p,15p,31 Days,Up to Maximum stay,No,Off street,1
The Ship Inn Car Park,21623,51.6070786,-2.95174003,Smart Parking,NP18 1QF,The Ship Inn Car Park/Newport,60,Car,10 August 2021,All Week,£2.00,20p,15p,15p,12 Hours,Up to Maximum stay,No,Off street,1
Fighting Cocks Car Park,21625,52.0066414,0.211410001,Smart Parking,CB11 4JN,Fighting Cocks Car Park/Wendens Ambo,200,Car,21 October 2021,All Week,£5.00,20p,15p,15p,14 Days,Up to Maximum stay,No,Off street,1
St Johns Car Park East,21626,52.4606018,-1.94571996,Smart Parking,B17 9LD,St Johns Car Park East/Birmingham,70,Car,13 September 2021,All Week,£0.60,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Ashington FC Car Park,21627,55.1851616,-1.54970002,Smart Parking,NE63 9FW,Ashington FC Car Park/Ashington,99,Car,16 February 2022,All Week,£1.00,20p,15p,15p,365 Days,Up to Maximum stay,No,Off street,1
Gorgie Road Car Park,21628,55.9317398,-3.25115991,Smart Parking,EH11 3AL,Gorgie Road Car Park/Edinburgh,50,Car,16 February 2022,All Week,£1.50,20p,15p,15p,4 Hours,Up to Maximum stay,No,Off street,1
Plough Hotel Car Park,21629,56.0257683,-3.81693006,Smart Parking,FK5 4EY,Plough Hotel Car Park/Stenhousemuir,35,Car,23 September 2021,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Lord Nelson Car Park,21632,53.5184402,-2.33137012,Smart Parking,M27 8FH,Lord Nelson Car Park/Manchester,35,Car,03 September 2021,All Week,£1.00,20p,15p,15p,3 Hours,Up to Maximum stay,No,Off street,1
Lamb Hotel Car Park,21633,53.4834518,-2.33389997,Smart Parking,M30 0BP,Lamb Hotel Car Park/Manchester,30,Car,04 November 2021,All Week,£1.00,20p,15p,15p,1 Day,Up to Maximum stay,No,Off street,1
Mill at Upton Car Park,21635,53.2087898,-2.89352989,Smart Parking,CH2 1AU,Mill at Upton Car Park/Chester,45,Car,29 September 2021,All Week,£2.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
The Griffin Car Park,21636,53.3721619,-2.2172699,Smart Parking,SK8 3BE,The Griffin Car Park/Stockport,60,Car,05 October 2021,All Week,£0.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Grange Clinic Car Park,21637,53.1982994,-2.88058996,Smart Parking,CH2 3NQ,Grange Clinic Car Park/Chester,9,Car,07 December 2021,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Mary Street House Car Park,21638,51.01231,-3.10156989,Smart Parking,TA1 3NW,Mary Street House Car Park/Taunton,54,Car,31 December 2021,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
The Wheel Car Park,21639,52.429451,-1.47853994,Smart Parking,CV6 7JF,The Wheel Car Park/Coventry,25,Car,20 December 2021,All Week,£1.00,20p,15p,15p,3 Hours,Up to Maximum stay,No,Off street,1
Bridge Park Hotel Car Park,21640,51.5415382,-0.26177001,Smart Parking,NW10 8BN,Bridge Park Hotel Car Park/London,30,Car,16 May 2022,All Week,£1.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
35 Regent Street Car Park,21641,54.5946808,-5.70031023,Smart Parking,BT23 4AD,35 Regent Street Car Park/Newtownards,50,Car,07 September 2021,All Week,£1.00,20p,15p,15p,4 Hours,Up to Maximum stay,No,Off street,1
Winton Square Car Park,21642,53.0088081,-2.18052006,Smart Parking,ST1 5NB,Winton Square Car Park/Stoke-on-Trent,30,Car,20 September 2021,Monday to Friday,£6.00,20p,15p,15p,12 Hours,Up to Maximum stay,No,Off street,1
Prince Albert Car Park,21643,51.455719,0.152789995,Smart Parking,DA6 7LE,Prince Albert Car Park/Bexleyheath,15,Car,07 October 2021,All Week,£3.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Southgate Car Park,21644,53.5002289,-1.43710995,Smart Parking,S74 9AF,Southgate Car Park/Hoyland,10,Car,22 September 2021,All Week,£1.00,20p,15p,15p,4 Hours,Up to Maximum stay,No,Off street,1
The Sportsman Car Park,21645,51.2644196,-0.22394,Smart Parking,KT20 7ES,The Sportsman Car Park/Tadworth,50,Car,06 October 2021,All Week,£1.50,20p,15p,15p,4 Hours,Up to Maximum stay,No,Off street,1
333 Bath Road Car Park,21651,51.4725494,-0.384469986,Smart Parking,TW3 3DH,333 Bath Road Car Park/Hounslow,7,Car,22 March 2022,All Week,£1.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Moore Place Car Park,21652,51.3661003,-0.370420009,Smart Parking,KT10 9LN,Moore Place Car Park/Esher,70,Car,24 March 2022,All Week,£2.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Hop Poles Car Park,21654,51.6633682,-0.0777600035,Smart Parking,EN1 3LH,Hop Poles Car Park/London,20,Car,24 February 2023,Monday to Thursday,£1.00,20p,15p,15p,2 Hours,Up to Maximum stay,No,Off street,1
Old Swan Pub Car Park,21655,53.6554718,-2.63261008,Smart Parking,PR7 1EP,Old Swan Pub Car Park/Chorley,26,Car,21 October 2021,All Week,£2.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Benedictine Monastery Car Park,21656,55.7918587,-4.86820984,Smart Parking,KA30 8BY,Benedictine Monastery Car Park/Largs,20,Car,26 October 2021,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Ebrington Street Car Park,21658,50.37257,-4.13301992,Smart Parking,PL4 9AQ,Ebrington Street Car Park/Plymouth,17,Car,19 November 2021,All Week,£1.20,20p,15p,15p,12 Hours,Up to Maximum stay,No,Off street,1
War Memorial Car Park,21659,51.4041901,-1.26283002,Smart Parking,RG18 3AG,War Memorial Car Park/Thatcham,60,Car,24 May 2022,All Week 7:00am - 4:30pm,£0.50,20p,15p,15p,15 Hours,Up to Maximum stay,No,Off street,1
War Memorial Car Park (Doctors),21660,51.404171,-1.26282001,Smart Parking,RG18 3AG,War Memorial Car Park (Doctors)/Thatcham,10,Car,17 December 2021,All Week 7:00am - 11:00pm,£1.00,20p,15p,15p,15 Hours,Up to Maximum stay,No,Off street,1
War Memorial Car Park (Chiro Practice),21661,51.4041786,-1.26283002,Smart Parking,RG18 3AG,War Memorial Car Park (Chiro Practice)/Thatcham,2,Car,20 December 2021,All Week 7:00am - 7:00pm,£1.00,20p,15p,15p,12 Hours,Up to Maximum stay,No,Off street,1
War Memorial Car Park. 7 day pass,21662,51.404129,-1.26284003,Smart Parking,RG18 3AG,War Memorial Car Park. 7 day pass/Thatcham,60,Car,17 December 2021,24hrs,£5.00,20p,15p,15p,7 Hours,Up to Maximum stay,No,Off street,1
Market Street,21663,53.5013618,-1.43782997,Smart Parking,S74 9QR,Market Street/Hoyland,50,Car,03 December 2021,All Week,£1.00,20p,15p,15p,24 Hours,Forever,No,Off street,1
War Memorial Car Park (Scouts),21664,51.4041595,-1.26283002,Smart Parking,RG18 3AG,War Memorial Car Park (Scouts)/Thatcham,2,Car,17 December 2021,All Week,£0.10 (0.01),20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
War Memorial Car Park (Tennis Club),21665,51.4041595,-1.26286995,Smart Parking,RG18 3AG,War Memorial Car Park (Tennis Club)/Thatcham,6,Car,20 December 2021,All Week,£0.10 (0.01),20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
War Memorial Car Park (Bowling Club),21666,51.4041405,-1.26285994,Smart Parking,RG18 3AG,War Memorial Car Park (Bowling Club)/Thatcham,6,Car,17 December 2021,All Week,£0.10 (0.01),20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
War Memorial Car Park (Hall Hire),21667,51.4041405,-1.26285005,Smart Parking,RG18 3AG,War Memorial Car Park (Hall Hire)/Thatcham,15,Car,17 December 2021,All Week,£0.10 (0.01),20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Osterley Park Hotel Car Park,21668,51.4829483,-0.335860014,Smart Parking,TW7 5NA,Osterley Park Hotel Car Park/Isleworth,60,Car,17 November 2021,All Week,£3.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Churchill Street Car Park,21669,54.9970818,-1.50319004,Smart Parking,NE28 7DB,Churchill Street Car Park/Wallsend,9,Car,09 December 2021,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
New Biggin Hall Car Park,21670,55.0063286,-1.68824005,Smart Parking,NE5 4FB,New Biggin Hall Car Park/Newcastle Upon Tyne,10,Car,09 December 2021,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Ibis Heathrow Central,21671,51.4787216,-0.40952,Smart Parking,TW5 9TW,Ibis Heathrow Central/Hounslow,140,Car,24 December 2021,All Week,£2.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Liverpool Marina Inner Car Park,21672,53.3903999,-2.98613,Smart Parking,L3 4BP,Liverpool Marina Inner Car Park/Liverpool,120,"Car, HGV/LGV, Motorcycle, Minibus, Caravan",10 February 2022,All Week,£1.20,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,5
Fairways House Car Park,21673,50.9142303,-1.38998997,Smart Parking,SO14 0QB,Fairways House Car Park/Southampton,40,Car,16 February 2022,All Week 8:00am - 9:00pm,£0.70,20p,15p,15p,1 Day,Up to Maximum stay,No,Off street,1
Liverpool Marina Outer Car Park,21674,53.3904419,-2.98523998,Smart Parking,L3 4BP,Liverpool Marina Outer Car Park/Liverpool,90,"Car, HGV/LGV, Motorcycle, Minibus, Caravan",10 February 2022,All Week,£1.20,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,5
34-36 Market Street Car Park,21675,53.1672592,-1.41359997,Smart Parking,S45 9JE,34-36 Market Street Car Park/Chesterfield,40,Car,02 February 2022,All Week,£3.00,20p,15p,15p,4 Hours,Forever,No,Off street,1
Academy Street Car Park,21676,54.6041107,-5.92743015,Smart Parking,BT1 2NQ,Academy Street Car Park/Belfast,40,Car,07 February 2022,All Week,£1.00,20p,15p,15p,24 Hours,Forever,No,Off street,1
Alexander Street Car Park,21678,54.8679314,-6.27412987,Smart Parking,BT43 6ED,Alexander Street Car Park/Ballymena,400,Car,22 July 2022,All Week,£1.00,20p,15p,15p,90 Days,Forever,No,Off street,1
Riviera International Centre Car Park,21679,50.4651489,-3.53906012,Smart Parking,TQ2 5LZ,Riviera International Centre Car Park/Torquay,350,Car,03 March 2022,All Week,£1.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Daisy Meadows Car Park,21680,51.729969,0.707229972,Smart Parking,CM9 4RW,Daisy Meadows Car Park/Maldon,130,Car,08 March 2022,All Week,£1.00,20p,15p,15p,7 Days,Up to Maximum stay,No,Off street,1
Hengrove Leisure Park,21681,51.4129105,-2.58561993,Smart Parking,BS14 0DE,Hengrove Leisure Park/Bristol,320,Car,08 March 2022,All Week,£1.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
13 - 17 Upper Newington Car Park,21682,53.4044991,-2.97701001,Smart Parking,L1 2SR,13 - 17 Upper Newington Car Park/Liverpool,14,Car,16 March 2022,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
6 - 8 Tomb Street Car Park,21683,54.6025887,-5.92375994,Smart Parking,BT1 3EQ,6 - 8 Tomb Street Car Park/Belfast,60,Car,17 October 2022,All Week,£0.80,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Grange Road Car Park,21684,54.5748596,-1.24205005,Smart Parking,TS1 5BA,Grange Road Car Park/Middlesbrough,16,Car,12 March 2022,All Week,£0.80,20p,15p,15p,10 Hours,Up to Maximum stay,No,Off street,1
Bright Street Car Park,21685,54.5745087,-1.22762001,Smart Parking,TS1 2AP,Bright Street Car Park/Middlesbrough,30,Car,23 March 2023,All Week,£1.20,20p,15p,15p,12 Hours,Up to Maximum stay,No,Off street,1
Brunswick Street Car Park,21686,54.5633507,-1.31568003,Smart Parking,TS18 1HA,Brunswick Street Car Park/Stockton-on-Tees,27,Car,12 March 2022,All Week,£1.00,20p,15p,15p,12 Hours,Up to Maximum stay,No,Off street,1
Marton Road Car Park,21687,54.5737114,-1.22678006,Smart Parking,TS1 2DU,Marton Road Car Park/Middlesbrough,20,Car,23 March 2023,All Week,£1.90,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Abingdon Road Car Park,21688,54.5738983,-1.22783005,Smart Parking,TS1 2DP,Abingdon Road Car Park/Middlesbrough,20,Car,23 March 2023,All Week,£1.90,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
The Sheraton Car Park,21689,54.5852318,-1.34566998,Smart Parking,TS19 8BW,The Sheraton Car Park/Stockton-on-Tees,50,Car,22 March 2022,All Week,£1.50,20p,15p,15p,14 Hours,Up to Maximum stay,No,Off street,1
Porcelanosa Car Park,21690,52.39674,-1.81789994,Smart Parking,B90 4BS,Porcelanosa Car Park/Solihull,75,Car,04 April 2022,24hrs,£150.00,20p,15p,15p,186 Days,Up to Maximum stay,No,Off street,1
Delta Marriott Hotel Car Park,21691,51.7203903,-0.0318700001,Smart Parking,EN10 6NG,Delta Marriott Hotel Car Park/Cheshunt,153,Car,31 May 2022,All Week,£3.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Thames Valley Athletics Club Car Park,21693,51.4948997,-0.595220029,Smart Parking,SL4 6HN,Thames Valley Athletics Club Car Park/Berkshire,100,Car,11 May 2023,Monday to Saturday,£1.20,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Willen Lake Car Park,21694,52.0492401,-0.72420001,Smart Parking,MK15 0DS,Willen Lake Car Park/Milton Keynes,700,Car,21 December 2022,All Week,£1.35,720p,15p,15p,52 Weeks,Up to Maximum stay,No,Off street,1
Waltham Estates Car Park,21695,51.4696083,-0.117629997,Smart Parking,SW9 9PT,Waltham Estates Car Park/London,100,Car,28 April 2022,All Week,£0.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Begbie House Car Park,21696,51.4704704,-0.118649997,Smart Parking,SW9 0SR,Begbie House Car Park/London,20,Car,28 April 2022,All Week,£0.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Glen Lyn Car Park,21697,51.2060089,-4.03769016,Smart Parking,EX34 0AN,Glen Lyn Car Park/Devon,20,Car,20 October 2022,All Week,£1.20,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
World Furniture Store Car Park,21698,53.4126396,-2.96719003,Smart Parking,L6 1EA,World Furniture Store Car Park/Liverpool,60,Car,11 May 2022,All Week,£5.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Sidmouth Conservative Club Car Park,21699,50.6826515,-3.23867011,Smart Parking,EX10 8TL,Sidmouth Conservative Club Car Park/Sidmouth,44,Car,06 June 2022,Monday to Saturday 10:00am - Midnight,£1.00,20p,15p,15p,6 Hours,Up to Maximum stay,No,Off street,1
North Wynd Car Park,21750,55.8947296,-3.07120991,Midlothian Council,EH22 1JE,North Wynd Car Park/Dalkeith,90,Car,01 February 2022,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
St Andrew Street Car Park,21751,55.8936501,-3.06748009,Midlothian Council,EH22 1AN,St Andrew Street Car Park/Dalkeith,43,Car,01 February 2022,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Council Offices Car Park,21800,51.728569,0.680190027,Maldon District Council,CM9 5DL,Council Offices Car Park/Maldon,0,"Car, HGV/LGV, Minibus, Caravan",22 March 2023,Saturdays 8:00am - Midnight,£1.20,20p,10p,10p,9 Hours,Up to Maximum stay,No,Off street,4
Promenade Park Coach Park Car Park,21801,51.7270317,0.686919987,Maldon District Council,CM9 5JX,Promenade Park Coach Park Car Park/Maldon,0,"Car, HGV/LGV, Coach, Minibus, Caravan",22 March 2023,All Week 8:00am - 8:00pm,£1.50,20p,10p,10p,12 Hours,Up to Maximum stay,No,Off street,5
Promenade Park Car Park,21802,51.7250099,0.692889988,Maldon District Council,CM9 5JQ,Promenade Park Car Park/Maldon,0,"Car, HGV/LGV, Minibus, Caravan",09 February 2023,All Week 8:00am - 8:00pm,£1.50,20p,10p,10p,12 Hours,Up to Maximum stay,No,Off street,4
Friary Fields Car Park,21803,51.7307014,0.679340005,Maldon District Council,CM9 5BY,Friary Fields Car Park/Maldon,0,"Car, HGV/LGV, Minibus, Caravan",22 March 2023,Monday to Saturday 8:00am - 10:00pm,£2.20,20p,10p,10p,7 Days,Up to Maximum stay,No,Off street,4
Carmelite Way Car Park,21804,51.7305794,0.678070009,Maldon District Council,CM9 5FW,Carmelite Way Car Park/Maldon,0,"Car, HGV/LGV, Minibus, Caravan",22 March 2023,Monday to Friday,Free,20p,10p,10p,14 Hours,Up to Maximum stay,No,Off street,4
White Horse Lane Car Park,21805,51.7307014,0.676609993,Maldon District Council,CM9 5QP,White Horse Lane Car Park/Maldon,0,"Car, HGV/LGV, Minibus, Caravan",28 April 2023,Monday to Saturday 8:00am - Midnight,£1.20,20p,10p,10p,14 Hours,Up to Maximum stay,No,Off street,4
Butt Lane Car Park,21806,51.7318916,0.681050003,Maldon District Council,CM9 5HD,Butt Lane Car Park/Maldon,0,"Car, HGV/LGV, Minibus, Caravan",13 March 2023,Monday to Saturday 8:00am - Midnight,£1.20,20p,10p,10p,7 Days,Up to Maximum stay,No,Off street,4
High Street East Car Park,21807,51.7305908,0.683489978,Maldon District Council,CM9 5RU,High Street East Car Park/Maldon,0,"Car, HGV/LGV, Minibus, Caravan",13 March 2023,Monday to Saturday 8:00am - Midnight,£1.20,20p,10p,10p,7 Days,Up to Maximum stay,No,Off street,4
University Car Park (Permit Holders) - Long Street,21850,52.0534897,1.16418004,IPSERV Ltd,IP4 1LQ,University Car Park (Permit Holders) - Long Street/Ipswich,314,Car,12 November 2021,24hrs,£2.00,12p,15p,15p,20 Days,Up to Maximum stay,Yes,Off street,1
Duke Street Car Park - Orwell Quay,21851,52.0509796,1.16392004,IPSERV Ltd,IP3 0AQ,Duke Street Car Park - Orwell Quay/Ipswich,261,"Car, HGV/LGV, Minibus",12 August 2020,All Week,£1.70,12p,15p,15p,24 Days,Up to Maximum stay,Yes,Off street,3
